"Drug_Name","Year","Total Prescriptions","Total Patients","Total Cost","Out-Of-Pocket Cost","Total Cost Per Day","Out-Of-Pocket Cost Per Day"
"Atenolol",2020,"12,860,512","3,143,500","$10.00","$5.17","$0.15","$0.09"
"Atenolol",2021,"14,107,487","3,384,297","$8.79","$4.12","$0.17","$0.08"
"Atenolol",2022,"10,675,235","2,625,632","$12.74","$4.31","$0.18","$0.06"
"Glimepiride",2013,"9,539,495","1,743,125","$15.54","$5.70","$0.31","$0.12"
"Glimepiride",2014,"12,859,036","2,156,734","$13.82","$5.87","$0.29","$0.13"
"Glimepiride",2015,"13,601,020","2,546,158","$39.23","$5.07","$1.36","$0.18"
"Glimepiride",2016,"12,432,147","2,345,447","$38.37","$4.65","$0.86","$0.09"
"Glimepiride",2017,"12,044,087","2,377,317","$33.62","$5.98","$0.72","$0.10"
"Glimepiride",2018,"11,405,689","2,205,422","$25.54","$5.73","$0.44","$0.08"
"Glimepiride",2019,"11,504,531","2,277,208","$27.80","$6.86","$0.47","$0.12"
"Glimepiride",2020,"8,566,883","1,899,338","$15.26","$7.33","$0.23","$0.12"
"Glimepiride",2021,"8,994,560","2,066,583","$16.21","$8.82","$0.24","$0.12"
"Glimepiride",2022,"10,407,351","2,285,854","$14.35","$4.80","$0.25","$0.09"
"Folic Acid",2013,"8,468,299","1,578,659","$8.03","$4.43","$0.22","$0.10"
"Folic Acid",2014,"10,404,775","1,782,635","$8.81","$4.79","$0.23","$0.12"
"Folic Acid",2015,"10,104,902","1,871,818","$7.99","$4.65","$0.25","$0.13"
"Folic Acid",2016,"8,276,080","1,649,024","$8.55","$4.05","$0.24","$0.08"
"Folic Acid",2017,"8,284,498","1,795,112","$8.83","$4.20","$0.22","$0.09"
"Folic Acid",2018,"7,099,659","1,793,345","$7.35","$4.86","$0.17","$0.08"
"Folic Acid",2019,"8,860,645","2,096,607","$8.84","$5.08","$0.18","$0.10"
"Folic Acid",2020,"10,334,172","2,557,764","$7.11","$4.73","$0.14","$0.09"
"Folic Acid",2021,"8,892,870","2,343,374","$8.39","$4.70","$0.13","$0.08"
"Folic Acid",2022,"10,185,562","2,602,156","$9.23","$3.81","$0.15","$0.06"
"Zolpidem",2013,"24,359,846","4,863,454","$61.44","$10.32","$1.31","$0.19"
"Zolpidem",2014,"22,399,740","4,418,932","$51.98","$6.63","$2.09","$0.22"
"Zolpidem",2015,"19,185,054","3,799,205","$40.51","$8.32","$1.11","$0.23"
"Zolpidem",2016,"19,102,809","3,584,013","$34.04","$5.71","$1.17","$0.17"
"Zolpidem",2017,"15,899,894","3,084,472","$35.10","$7.28","$1.04","$0.20"
"Zolpidem",2018,"12,877,940","2,858,753","$32.59","$5.72","$0.98","$0.18"
"Zolpidem",2019,"15,419,648","3,013,103","$41.51","$7.31","$1.29","$0.19"
"Zolpidem",2020,"14,272,253","2,592,750","$16.99","$6.77","$0.54","$0.24"
"Zolpidem",2021,"10,838,845","2,402,662","$13.08","$5.15","$0.42","$0.18"
"Zolpidem",2022,"9,972,232","1,983,061","$15.07","$4.85","$0.60","$0.16"
"Latanoprost",2013,"6,855,937","1,383,874","$26.43","$8.68","$0.92","$0.29"
"Latanoprost",2014,"7,594,870","1,570,812","$33.34","$7.22","$0.89","$0.20"
"Latanoprost",2015,"8,452,983","1,765,232","$30.82","$8.64","$1.27","$0.23"
"Latanoprost",2016,"9,879,869","1,976,480","$27.62","$8.16","$0.65","$0.23"
"Latanoprost",2017,"9,937,126","2,162,425","$29.81","$8.55","$0.94","$0.33"
"Latanoprost",2018,"8,975,788","2,185,662","$44.32","$8.24","$1.03","$0.19"
"Latanoprost",2019,"9,800,569","2,454,924","$51.05","$8.98","$2.63","$0.28"
"Latanoprost",2020,"9,722,630","2,650,387","$38.28","$9.71","$1.04","$0.19"
"Latanoprost",2021,"9,895,398","2,753,023","$43.97","$8.38","$0.85","$0.24"
"Latanoprost",2022,"9,971,002","2,723,057","$34.64","$7.33","$0.75","$0.16"
"Doxycycline",2013,"7,876,789","3,538,391","$103.27","$16.21","$5.20","$1.08"
"Doxycycline",2014,"6,712,475","3,764,501","$145.47","$19.25","$7.77","$1.13"
"Doxycycline",2015,"6,471,490","3,626,867","$103.93","$21.25","$6.78","$1.09"
"Doxycycline",2016,"6,640,671","3,716,331","$81.75","$17.02","$3.70","$1.12"
"Doxycycline",2017,"6,681,548","3,577,733","$98.35","$12.01","$5.48","$0.70"
"Doxycycline",2018,"10,191,744","5,034,775","$137.80","$15.39","$5.18","$0.80"
"Doxycycline",2019,"8,809,374","5,335,777","$55.48","$12.02","$3.53","$0.86"
"Doxycycline",2020,"9,152,604","5,132,350","$38.75","$16.14","$2.23","$0.87"
"Doxycycline",2021,"8,599,224","4,431,691","$54.20","$13.31","$1.86","$0.70"
"Doxycycline",2022,"9,833,973","5,787,510","$54.79","$9.73","$2.09","$0.67"
"Lisdexamfetamine",2013,"7,275,101","1,017,302","$207.58","$32.63","$6.75","$1.01"
"Lisdexamfetamine",2014,"8,394,654","1,240,184","$218.05","$44.54","$6.95","$1.40"
"Lisdexamfetamine",2015,"6,696,494","1,165,093","$264.27","$33.92","$8.04","$1.31"
"Lisdexamfetamine",2016,"7,570,687","1,218,997","$242.42","$42.41","$8.06","$1.23"
"Lisdexamfetamine",2017,"8,884,101","1,437,937","$262.38","$48.45","$8.86","$1.16"
"Lisdexamfetamine",2018,"10,011,145","1,415,486","$325.61","$50.88","$10.52","$2.30"
"Lisdexamfetamine",2019,"9,775,262","1,485,285","$344.46","$34.05","$12.24","$1.27"
"Lisdexamfetamine",2020,"8,647,783","1,326,189","$348.35","$40.25","$10.87","$1.28"
"Lisdexamfetamine",2021,"9,835,531","1,450,419","$320.19","$45.41","$11.04","$1.61"
"Lisdexamfetamine",2022,"9,791,955","1,529,700","$361.47","$34.22","$12.11","$1.28"
"Insulin Lispro",2013,"4,435,183","980,775","$330.51","$24.77","$11.07","$0.81"
"Insulin Lispro",2014,"6,081,261","1,293,930","$567.29","$35.98","$14.84","$1.23"
"Insulin Lispro",2015,"7,320,280","1,447,458","$590.41","$48.93","$18.72","$1.35"
"Insulin Lispro",2016,"7,544,686","1,288,088","$777.90","$62.20","$24.24","$1.97"
"Insulin Lispro",2017,"6,080,310","1,211,777","$886.18","$51.19","$24.17","$1.47"
"Insulin Lispro",2018,"8,512,587","1,490,687","$835.43","$35.62","$22.23","$1.14"
"Insulin Lispro",2019,"11,389,229","2,433,328","$691.72","$67.73","$13.96","$1.39"
"Insulin Lispro",2020,"10,013,738","2,272,153","$692.13","$33.26","$14.06","$1.06"
"Insulin Lispro",2021,"12,035,959","2,270,527","$831.07","$42.84","$16.22","$0.99"
"Insulin Lispro",2022,"9,647,313","2,183,803","$762.92","$35.73","$20.25","$0.89"
"Clonidine",2013,"12,528,854","2,157,075","$23.18","$4.81","$0.74","$0.15"
"Clonidine",2014,"11,132,422","2,143,672","$17.69","$4.20","$0.43","$0.11"
"Clonidine",2015,"10,896,072","2,024,216","$35.05","$3.78","$0.95","$0.11"
"Clonidine",2016,"10,253,268","1,892,957","$26.26","$3.51","$0.54","$0.09"
"Clonidine",2017,"10,239,431","1,750,797","$25.52","$4.25","$0.49","$0.07"
"Clonidine",2018,"11,141,934","1,993,687","$19.47","$5.11","$0.69","$0.19"
"Clonidine",2019,"11,418,367","2,178,697","$28.12","$5.68","$0.94","$0.21"
"Clonidine",2020,"9,867,546","1,956,023","$68.13","$6.39","$1.74","$0.23"
"Clonidine",2021,"8,613,722","1,835,614","$43.40","$3.95","$1.21","$0.12"
"Clonidine",2022,"9,626,080","1,877,700","$28.05","$7.36","$0.79","$0.22"
"Loratadine",2013,"9,461,228","2,628,317","$12.40","$3.49","$0.41","$0.09"
"Loratadine",2014,"10,719,479","2,799,491","$13.32","$3.15","$0.43","$0.09"
"Loratadine",2015,"12,766,655","3,422,413","$10.98","$3.78","$0.37","$0.12"
"Loratadine",2016,"12,085,215","3,211,852","$10.84","$4.29","$0.29","$0.11"
"Loratadine",2017,"12,402,146","3,215,734","$13.03","$3.56","$0.40","$0.10"
"Loratadine",2018,"10,528,684","2,837,051","$9.24","$3.40","$0.27","$0.09"
"Loratadine",2019,"11,374,226","3,311,472","$10.00","$3.24","$0.28","$0.07"
"Loratadine",2020,"9,914,365","2,695,131","$9.19","$3.66","$0.25","$0.09"
"Loratadine",2021,"9,990,364","2,515,720","$9.10","$3.89","$0.24","$0.08"
"Loratadine",2022,"9,230,347","2,593,104","$10.23","$3.02","$0.25","$0.07"
"Finasteride",2013,"6,464,305","1,519,591","$57.57","$28.18","$0.89","$0.33"
"Finasteride",2014,"7,081,511","1,577,069","$37.73","$14.04","$0.94","$0.36"
"Finasteride",2015,"7,495,165","1,759,103","$52.81","$15.25","$1.00","$0.24"
"Finasteride",2016,"10,300,054","2,342,882","$49.67","$11.31","$0.86","$0.18"
"Finasteride",2017,"9,132,613","2,156,275","$28.66","$9.85","$0.53","$0.18"
"Finasteride",2018,"8,876,331","2,480,924","$36.77","$14.81","$0.55","$0.26"
"Finasteride",2019,"8,986,897","2,314,978","$40.86","$12.10","$0.51","$0.21"
"Finasteride",2020,"8,185,106","2,156,558","$19.83","$11.10","$0.30","$0.18"
"Finasteride",2021,"8,254,453","2,480,881","$24.51","$9.92","$0.33","$0.15"
"Finasteride",2022,"9,203,008","2,626,865","$21.97","$9.25","$0.46","$0.18"
"Dulaglutide",2017,"2,169,781","448,817","$1,098.91","$100.23","$21.65","$2.16"
"Dulaglutide",2018,"4,223,559","790,653","$1,144.82","$34.40","$24.86","$0.98"
"Dulaglutide",2019,"5,095,034","1,115,444","$1,135.97","$85.23","$25.99","$1.73"
"Dulaglutide",2020,"7,657,320","1,506,236","$1,145.01","$64.94","$23.99","$2.05"
"Dulaglutide",2021,"9,599,734","1,926,282","$1,615.30","$46.76","$26.07","$1.21"
"Dulaglutide",2022,"8,968,874","2,001,700","$1,587.65","$51.29","$30.27","$1.17"
"Hydrochlorothiazide; Losartan",2013,"13,500,596","2,343,152","$34.69","$11.82","$0.81","$0.29"
"Hydrochlorothiazide; Losartan",2014,"14,028,830","2,494,415","$31.58","$9.16","$0.58","$0.18"
"Hydrochlorothiazide; Losartan",2015,"14,262,498","2,700,688","$33.21","$7.24","$0.96","$0.14"
"Hydrochlorothiazide; Losartan",2016,"9,772,428","1,982,841","$31.58","$7.01","$0.65","$0.16"
"Hydrochlorothiazide; Losartan",2017,"11,752,545","2,433,356","$34.12","$6.97","$0.73","$0.15"
"Hydrochlorothiazide; Losartan",2018,"13,880,262","2,797,930","$60.03","$8.08","$0.96","$0.14"
"Hydrochlorothiazide; Losartan",2019,"10,268,139","2,318,012","$52.33","$7.92","$1.10","$0.18"
"Hydrochlorothiazide; Losartan",2020,"7,948,927","2,055,422","$32.16","$7.28","$0.45","$0.12"
"Hydrochlorothiazide; Losartan",2021,"8,266,619","2,268,307","$30.95","$8.71","$0.54","$0.12"
"Hydrochlorothiazide; Losartan",2022,"8,825,878","2,442,356","$34.25","$8.43","$0.53","$0.15"
"Insulin Aspart",2013,"3,799,081","741,004","$398.25","$46.64","$11.93","$1.67"
"Insulin Aspart",2014,"10,220,895","1,695,103","$615.87","$43.85","$15.45","$1.12"
"Insulin Aspart",2015,"9,391,154","1,664,214","$509.56","$39.27","$17.82","$1.02"
"Insulin Aspart",2016,"8,662,906","1,472,608","$687.01","$54.79","$17.38","$1.68"
"Insulin Aspart",2017,"14,259,045","2,981,480","$811.78","$63.10","$22.74","$1.74"
"Insulin Aspart",2018,"10,973,442","2,189,772","$719.71","$37.65","$17.60","$0.73"
"Insulin Aspart",2019,"9,067,406","1,854,475","$1,064.39","$71.35","$20.00","$1.28"
"Insulin Aspart",2020,"9,124,642","1,929,132","$876.80","$48.48","$17.83","$0.78"
"Insulin Aspart",2021,"9,568,330","2,082,384","$830.77","$39.10","$16.54","$0.91"
"Insulin Aspart",2022,"8,813,259","1,733,883","$990.42","$77.56","$14.43","$1.31"
"Propranolol",2013,"8,684,609","1,611,791","$38.49","$8.32","$0.42","$0.16"
"Propranolol",2014,"9,870,884","1,852,988","$32.05","$8.74","$0.86","$0.45"
"Propranolol",2015,"13,854,897","2,670,989","$40.72","$8.36","$0.82","$0.17"
"Propranolol",2016,"18,416,025","4,307,798","$44.93","$5.51","$0.92","$0.14"
"Propranolol",2017,"17,790,916","4,038,755","$27.45","$7.21","$0.59","$0.17"
"Propranolol",2018,"14,606,280","3,316,466","$36.82","$10.00","$0.86","$0.20"
"Propranolol",2019,"9,277,061","2,421,089","$33.17","$12.72","$0.79","$0.31"
"Propranolol",2020,"8,470,628","1,906,375","$34.61","$13.47","$0.67","$0.29"
"Propranolol",2021,"7,993,156","2,008,047","$29.58","$10.45","$0.65","$0.22"
"Propranolol",2022,"8,810,846","2,153,812","$39.85","$9.81","$0.83","$0.24"
"Azithromycin",2013,"32,039,885","24,516,487","$19.12","$7.78","$4.62","$1.97"
"Azithromycin",2014,"31,988,786","24,596,119","$23.33","$7.88","$4.68","$1.80"
"Azithromycin",2015,"16,364,609","12,623,941","$18.25","$6.28","$4.18","$1.28"
"Azithromycin",2016,"15,292,543","11,934,533","$35.35","$8.50","$5.46","$1.32"
"Azithromycin",2017,"12,690,152","9,484,901","$25.96","$6.34","$4.61","$1.27"
"Azithromycin",2018,"17,102,628","11,910,961","$20.90","$6.41","$4.64","$1.34"
"Azithromycin",2019,"15,300,433","11,577,286","$20.44","$5.51","$4.23","$1.15"
"Azithromycin",2020,"10,155,807","7,405,927","$28.38","$5.06","$3.68","$0.94"
"Azithromycin",2021,"7,308,877","5,781,665","$16.40","$4.87","$3.37","$0.96"
"Azithromycin",2022,"8,770,185","7,146,386","$17.34","$4.35","$3.39","$0.85"
"Ezetimibe",2013,"7,593,258","1,575,646","$287.44","$45.46","$5.75","$0.77"
"Ezetimibe",2014,"8,782,265","1,619,922","$323.11","$52.42","$6.56","$0.98"
"Ezetimibe",2015,"6,985,323","1,192,727","$385.31","$35.93","$7.26","$0.66"
"Ezetimibe",2016,"4,570,245","953,401","$529.46","$40.58","$9.43","$0.71"
"Ezetimibe",2017,"4,260,208","948,924","$378.98","$38.03","$7.00","$0.96"
"Ezetimibe",2018,"5,476,606","1,279,335","$169.15","$29.03","$3.07","$0.54"
"Ezetimibe",2019,"6,221,674","1,427,468","$124.47","$18.06","$1.69","$0.38"
"Ezetimibe",2020,"7,029,302","1,822,350","$47.71","$17.38","$0.87","$0.32"
"Ezetimibe",2021,"7,646,574","2,047,338","$58.88","$16.37","$0.96","$0.28"
"Ezetimibe",2022,"8,656,499","2,228,797","$65.69","$18.67","$1.22","$0.26"
"Ethinyl Estradiol; Norethindrone",2013,"14,703,289","2,886,927","$53.81","$10.10","$1.29","$0.34"
"Ethinyl Estradiol; Norethindrone",2014,"14,183,810","2,805,620","$58.88","$9.92","$1.41","$0.32"
"Ethinyl Estradiol; Norethindrone",2015,"14,145,039","2,918,726","$66.13","$9.52","$1.70","$0.36"
"Ethinyl Estradiol; Norethindrone",2016,"14,614,505","2,891,457","$52.93","$4.33","$1.57","$0.11"
"Ethinyl Estradiol; Norethindrone",2017,"14,961,803","3,100,337","$57.20","$8.00","$1.46","$0.21"
"Ethinyl Estradiol; Norethindrone",2018,"13,527,426","2,917,300","$73.90","$7.96","$1.94","$0.32"
"Ethinyl Estradiol; Norethindrone",2019,"16,505,642","3,462,531","$78.98","$7.96","$1.65","$0.26"
"Ethinyl Estradiol; Norethindrone",2020,"14,716,809","2,955,082","$80.90","$5.39","$2.02","$0.21"
"Ethinyl Estradiol; Norethindrone",2021,"12,906,438","2,753,719","$65.66","$3.26","$1.28","$0.05"
"Ethinyl Estradiol; Norethindrone",2022,"8,582,372","2,406,285","$79.60","$3.28","$1.52","$0.09"
"Lorazepam",2013,"15,357,551","3,153,373","$16.82","$5.81","$0.72","$0.30"
"Lorazepam",2014,"15,947,170","3,514,677","$25.08","$6.56","$1.11","$0.38"
"Lorazepam",2015,"15,698,434","3,219,082","$15.34","$4.03","$0.75","$0.25"
"Lorazepam",2016,"14,317,316","2,956,367","$20.86","$3.39","$1.03","$0.16"
"Lorazepam",2017,"12,359,439","2,842,817","$14.13","$3.95","$0.54","$0.17"
"Lorazepam",2018,"13,222,989","3,033,521","$16.06","$4.39","$0.75","$0.22"
"Lorazepam",2019,"10,875,212","2,837,061","$16.90","$4.27","$0.70","$0.20"
"Lorazepam",2020,"10,559,374","2,492,279","$13.45","$4.19","$0.76","$0.26"
"Lorazepam",2021,"8,860,599","2,204,460","$12.99","$4.24","$0.70","$0.23"
"Lorazepam",2022,"8,502,480","2,170,621","$9.56","$4.17","$0.55","$0.24"
"Quetiapine",2013,"8,522,852","1,307,035","$341.56","$59.17","$6.80","$0.74"
"Quetiapine",2014,"11,456,968","1,669,933","$206.27","$18.00","$6.88","$0.92"
"Quetiapine",2015,"9,195,115","1,648,193","$264.02","$32.23","$14.10","$1.18"
"Quetiapine",2016,"8,751,996","1,363,525","$176.97","$20.22","$6.12","$0.80"
"Quetiapine",2017,"10,402,693","1,681,349","$153.64","$4.68","$4.25","$0.25"
"Quetiapine",2018,"12,962,563","2,046,378","$83.18","$8.31","$2.45","$0.30"
"Quetiapine",2019,"13,114,560","1,966,742","$48.01","$6.06","$1.61","$0.19"
"Quetiapine",2020,"10,574,791","1,784,327","$22.36","$4.78","$0.85","$0.12"
"Quetiapine",2021,"10,957,922","1,809,254","$40.58","$5.46","$0.49","$0.12"
"Quetiapine",2022,"8,443,014","1,585,405","$41.51","$5.04","$1.20","$0.10"
"Budesonide; Formoterol",2013,"7,963,392","1,855,563","$349.15","$44.17","$7.98","$0.74"
"Budesonide; Formoterol",2014,"10,150,634","2,425,335","$319.06","$28.20","$8.92","$0.76"
"Budesonide; Formoterol",2015,"8,320,958","2,204,144","$334.88","$43.73","$8.56","$1.39"
"Budesonide; Formoterol",2016,"10,195,375","2,243,727","$313.36","$26.32","$8.76","$0.69"
"Budesonide; Formoterol",2017,"10,587,157","2,323,842","$318.12","$32.92","$8.25","$0.86"
"Budesonide; Formoterol",2018,"12,339,319","2,712,943","$375.05","$50.90","$10.19","$1.57"
"Budesonide; Formoterol",2019,"12,473,902","2,754,790","$463.99","$38.28","$12.11","$1.11"
"Budesonide; Formoterol",2020,"11,114,689","2,348,352","$374.51","$40.11","$10.24","$1.32"
"Budesonide; Formoterol",2021,"9,505,098","2,322,938","$528.60","$29.73","$11.03","$0.84"
"Budesonide; Formoterol",2022,"8,225,092","1,875,357","$468.96","$31.05","$12.08","$0.65"
"Topiramate",2013,"7,469,062","1,316,868","$84.99","$9.47","$2.09","$0.25"
"Topiramate",2014,"10,284,071","1,769,032","$65.18","$5.40","$1.46","$0.14"
"Topiramate",2015,"10,752,428","1,918,137","$82.32","$17.98","$1.93","$0.11"
"Topiramate",2016,"8,846,881","1,792,801","$63.05","$16.24","$1.69","$0.34"
"Topiramate",2017,"10,388,097","1,940,063","$92.75","$11.56","$3.86","$0.38"
"Topiramate",2018,"8,648,513","1,625,584","$134.59","$12.06","$3.98","$0.33"
"Topiramate",2019,"10,927,224","2,035,700","$144.01","$4.18","$4.63","$0.12"
"Topiramate",2020,"11,482,269","2,124,766","$161.70","$52.66","$6.72","$2.30"
"Topiramate",2021,"10,042,403","2,069,817","$56.64","$8.86","$1.71","$0.17"
"Topiramate",2022,"8,210,654","1,983,577","$34.54","$5.08","$0.72","$0.10"
"Warfarin",2013,"22,977,885","4,265,829","$20.97","$7.93","$0.48","$0.21"
"Warfarin",2014,"23,420,139","3,947,233","$23.78","$7.83","$0.67","$0.21"
"Warfarin",2015,"20,760,410","3,746,340","$26.92","$9.65","$0.82","$0.21"
"Warfarin",2016,"18,718,271","3,028,831","$29.76","$9.16","$0.72","$0.22"
"Warfarin",2017,"15,190,524","2,775,230","$27.35","$6.71","$0.65","$0.15"
"Warfarin",2018,"14,772,355","2,810,629","$28.31","$7.19","$0.33","$0.11"
"Warfarin",2019,"14,632,370","2,789,155","$18.72","$7.30","$0.28","$0.13"
"Warfarin",2020,"11,467,999","2,424,821","$17.53","$5.87","$0.27","$0.10"
"Warfarin",2021,"11,785,098","2,244,265","$14.10","$4.92","$0.25","$0.09"
"Warfarin",2022,"8,135,552","1,602,377","$14.08","$5.80","$0.28","$0.10"
"Sitagliptin",2013,"7,892,143","1,446,355","$372.50","$31.69","$8.72","$0.80"
"Sitagliptin",2014,"7,162,884","1,381,436","$422.27","$57.74","$9.56","$1.35"
"Sitagliptin",2015,"8,939,975","1,736,568","$517.79","$42.88","$11.65","$1.07"
"Sitagliptin",2016,"9,164,964","1,926,681","$619.08","$43.93","$12.59","$0.93"
"Sitagliptin",2017,"8,485,403","1,725,997","$619.99","$37.50","$12.67","$0.79"
"Sitagliptin",2018,"9,813,527","1,868,303","$737.78","$38.34","$14.79","$0.80"
"Sitagliptin",2019,"8,866,811","1,649,524","$785.64","$45.05","$14.96","$0.95"
"Sitagliptin",2020,"9,885,657","1,937,355","$926.71","$47.92","$15.31","$0.90"
"Sitagliptin",2021,"8,556,031","1,865,004","$1,042.69","$42.72","$16.07","$0.83"
"Sitagliptin",2022,"7,947,929","1,739,317","$1,224.31","$65.63","$17.82","$0.83"
"Amitriptyline",2013,"11,966,432","2,188,054","$7.27","$3.21","$0.21","$0.09"
"Amitriptyline",2014,"10,518,139","1,992,264","$14.32","$5.79","$0.32","$0.14"
"Amitriptyline",2015,"9,664,825","1,959,639","$19.37","$6.49","$0.51","$0.20"
"Amitriptyline",2016,"8,638,268","1,632,633","$20.01","$6.97","$0.46","$0.14"
"Amitriptyline",2017,"9,105,080","1,838,398","$18.12","$7.14","$0.56","$0.19"
"Amitriptyline",2018,"10,282,767","1,980,001","$24.65","$8.10","$0.56","$0.17"
"Amitriptyline",2019,"8,178,156","1,861,683","$16.92","$8.37","$0.42","$0.21"
"Amitriptyline",2020,"9,083,401","1,850,495","$19.45","$8.32","$0.53","$0.23"
"Amitriptyline",2021,"5,923,315","1,353,110","$17.48","$7.21","$0.34","$0.13"
"Amitriptyline",2022,"7,887,977","1,675,744","$18.58","$6.97","$0.52","$0.16"
"Fenofibrate",2013,"18,499,209","3,107,483","$132.93","$25.24","$3.15","$0.50"
"Fenofibrate",2014,"16,184,872","2,694,182","$112.68","$16.83","$2.58","$0.44"
"Fenofibrate",2015,"13,988,394","2,438,843","$99.95","$17.08","$1.86","$0.33"
"Fenofibrate",2016,"11,767,185","2,392,348","$78.65","$20.05","$1.67","$0.30"
"Fenofibrate",2017,"11,535,943","2,189,105","$75.10","$29.84","$1.92","$0.94"
"Fenofibrate",2018,"11,325,402","2,402,673","$77.55","$16.17","$1.46","$0.34"
"Fenofibrate",2019,"8,970,219","2,057,889","$50.87","$17.41","$0.84","$0.37"
"Fenofibrate",2020,"7,668,856","1,672,430","$39.31","$13.28","$0.69","$0.24"
"Fenofibrate",2021,"8,600,833","2,043,475","$51.33","$14.08","$0.81","$0.23"
"Fenofibrate",2022,"7,816,415","1,955,538","$43.71","$12.23","$0.86","$0.23"
"Naproxen",2013,"13,398,807","5,611,464","$11.25","$4.39","$0.43","$0.17"
"Naproxen",2014,"14,265,638","5,766,003","$15.29","$5.03","$0.72","$0.27"
"Naproxen",2015,"12,546,896","5,280,081","$17.80","$3.80","$0.84","$0.17"
"Naproxen",2016,"11,470,076","4,855,486","$23.60","$3.55","$0.90","$0.14"
"Naproxen",2017,"11,334,305","4,777,370","$27.93","$4.01","$1.40","$0.22"
"Naproxen",2018,"11,942,765","4,823,303","$25.86","$4.34","$0.96","$0.18"
"Naproxen",2019,"11,762,233","4,575,857","$22.93","$4.52","$1.01","$0.23"
"Naproxen",2020,"8,184,638","3,381,034","$21.68","$4.79","$0.88","$0.27"
"Naproxen",2021,"7,592,556","3,530,473","$20.61","$3.58","$0.79","$0.20"
"Naproxen",2022,"7,381,940","3,270,262","$24.02","$7.31","$1.10","$0.21"
"Rivaroxaban",2013,"1,901,597","590,837","$415.14","$104.31","$9.32","$2.83"
"Rivaroxaban",2014,"3,776,704","797,039","$326.41","$42.09","$9.65","$1.45"
"Rivaroxaban",2015,"5,563,073","1,286,570","$404.72","$30.52","$11.50","$0.95"
"Rivaroxaban",2016,"7,058,562","1,512,405","$530.55","$37.65","$13.07","$0.92"
"Rivaroxaban",2017,"6,836,386","1,272,672","$522.37","$78.55","$13.50","$1.43"
"Rivaroxaban",2018,"7,429,839","1,607,032","$619.24","$55.26","$13.66","$1.42"
"Rivaroxaban",2019,"8,799,404","1,988,539","$776.95","$67.04","$14.34","$1.46"
"Rivaroxaban",2020,"8,644,837","2,090,497","$840.73","$69.31","$15.55","$1.62"
"Rivaroxaban",2021,"8,330,556","1,772,808","$757.05","$98.16","$16.41","$2.14"
"Rivaroxaban",2022,"7,298,837","1,913,151","$875.62","$79.04","$17.95","$2.36"
"Pregabalin",2013,"8,742,203","1,513,080","$302.12","$35.81","$8.44","$0.64"
"Pregabalin",2014,"11,069,546","1,798,330","$374.19","$39.09","$9.34","$1.28"
"Pregabalin",2015,"10,205,189","1,758,523","$407.36","$47.43","$11.58","$0.99"
"Pregabalin",2016,"9,074,950","1,615,500","$445.08","$48.65","$12.90","$1.65"
"Pregabalin",2017,"11,152,692","1,928,238","$507.87","$41.20","$15.21","$1.71"
"Pregabalin",2018,"11,429,654","2,183,817","$610.85","$32.16","$17.36","$1.14"
"Pregabalin",2019,"9,625,189","1,731,352","$522.45","$27.87","$16.49","$0.86"
"Pregabalin",2020,"9,227,867","1,711,184","$125.08","$18.39","$4.02","$0.50"
"Pregabalin",2021,"8,996,019","1,687,032","$71.77","$19.72","$1.94","$0.30"
"Pregabalin",2022,"7,167,540","1,601,090","$112.31","$9.42","$2.80","$0.26"
"Paroxetine",2013,"14,303,225","2,253,230","$36.90","$6.87","$0.88","$0.16"
"Paroxetine",2014,"15,020,665","2,413,078","$33.29","$7.23","$0.96","$0.19"
"Paroxetine",2015,"14,808,496","2,364,353","$59.30","$11.04","$1.47","$0.14"
"Paroxetine",2016,"12,222,861","2,093,297","$113.75","$38.22","$1.88","$0.63"
"Paroxetine",2017,"11,670,683","2,031,833","$33.09","$7.26","$0.97","$0.22"
"Paroxetine",2018,"11,228,908","2,062,982","$33.69","$7.85","$0.67","$0.19"
"Paroxetine",2019,"9,783,755","2,043,795","$19.19","$7.87","$0.43","$0.16"
"Paroxetine",2020,"9,029,667","1,813,642","$15.60","$8.10","$0.35","$0.14"
"Paroxetine",2021,"7,482,340","1,614,935","$17.69","$7.49","$0.39","$0.17"
"Paroxetine",2022,"7,127,748","1,470,173","$19.10","$6.16","$0.44","$0.12"
"Celecoxib",2013,"9,736,100","2,174,154","$208.81","$41.97","$7.27","$1.02"
"Celecoxib",2014,"7,283,822","1,722,332","$295.41","$43.43","$8.34","$1.60"
"Celecoxib",2015,"6,573,509","1,487,443","$190.84","$36.58","$5.75","$0.67"
"Celecoxib",2016,"6,269,150","1,617,445","$196.33","$23.74","$3.76","$0.52"
"Celecoxib",2017,"7,036,320","1,780,718","$107.30","$19.74","$2.08","$0.45"
"Celecoxib",2018,"5,445,346","1,731,739","$139.79","$29.23","$3.48","$0.49"
"Celecoxib",2019,"6,595,236","1,905,201","$99.63","$25.32","$2.09","$0.39"
"Celecoxib",2020,"7,089,211","1,800,049","$65.62","$22.21","$1.87","$0.53"
"Celecoxib",2021,"7,082,350","1,967,573","$74.87","$15.91","$2.08","$0.27"
"Celecoxib",2022,"7,023,511","2,410,924","$50.05","$15.45","$1.22","$0.33"
"Tizanidine",2013,"5,167,333","1,184,696","$37.58","$7.97","$1.82","$0.53"
"Tizanidine",2014,"7,411,430","1,350,117","$48.48","$7.57","$1.67","$0.35"
