Job Title,Level,Job Title Full,Salary Estimate,Salary_Min,Salary_Max,Salary_Avg,Rating,Company Name,Glassdoor_Rating,Location,Location_State,Company_Headquarters,Company_Size,Founded,Type of ownership,Industry,Sector,Revenue (USD)
Data Engineer,,Data Engineer,$63K-$101K ,"$63,000","$101,000 ","$82,000 ",3.5,"Esri
",3.5,"Arlington, VA",VA,"Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
Data Engineer,,Data Engineer,$52K-$85K ,"$52,000","$85,000 ","$68,500 ",3.5,"Esri
",3.5,"Redlands, CA",CA,"Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
Data Engineer,,Data Engineer,$52K-$85K ,"$52,000","$85,000 ","$68,500 ",3.5,"Esri
",3.5,"Redlands, CA",CA,"Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
Data Engineer,,Data Engineer,$49K-$97K ,"$49,000","$97,000 ","$73,000 ",4,"HP Inc.
",4,"Corvallis, OR",OR,"Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$60K-$127K ,"$60,000","$127,000 ","$93,500 ",4,"ClearEdge
",4,"Annapolis Junction, MD",MD,"Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million 
Data Engineer,,Data Engineer,$60K-$127K ,"$60,000","$127,000 ","$93,500 ",4,"ClearEdge
",4,"Annapolis Junction, MD",MD,"Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million 
Data Engineer,,Data Engineer,$60K-$127K ,"$60,000","$127,000 ","$93,500 ",4,"ClearEdge
",4,"Annapolis Junction, MD",MD,"Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million 
Data Engineer,,Data Engineer,$67K-$119K ,"$67,000","$119,000 ","$93,000 ",3.4,"Pro-Sphere Tek
",3.4,"Austin, TX",TX,"Alexandria, VA",201 to 500 employees,2006,Company - Private,Consulting,Business Services,$50 to $100 million 
Data Engineer,,Data Engineer,$90K-$110K,"$90,000","$110,000 ","$100,000 ",3.4,"Tivity Health
",3.4,"Chandler, AZ",AZ,"Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$90K-$110K,"$90,000","$110,000 ","$100,000 ",3.4,"Tivity Health
",3.4,"Chandler, AZ",AZ,"Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$80K-$148K ,"$80,000","$148,000 ","$114,000 ",2.9,"Affinity Solutions
",2.9,"San Jose, CA",CA,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$80K-$148K ,"$80,000","$148,000 ","$114,000 ",2.9,"Affinity Solutions
",2.9,"San Jose, CA",CA,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$105K-$194K ,"$105,000","$194,000 ","$149,500 ",3.8,"Sumo Logic
",3.8,"Austin, TX",TX,"Redwood City, CA",501 to 1000 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$105K-$194K ,"$105,000","$194,000 ","$149,500 ",3.8,"Sumo Logic
",3.8,"Austin, TX",TX,"Redwood City, CA",501 to 1000 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Engineer,,Data Engineer,$126K-$228K ,"$126,000","$228,000 ","$177,000 ",3.7,"Samsung Research America
",3.7,"Mountain View, CA",CA,"Mountain View, CA",1001 to 5000 employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million 
Data Engineer,Associate,Data Engineer - Associate,$45K-$86K ,"$45,000","$86,000 ","$65,500 ",3.5,"EAB
",3.5,"Washington, DC",DC,"Washington, DC",1001 to 5000 employees,2007,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Data Engineer,Associate,Data Engineer - Associate,$45K-$86K ,"$45,000","$86,000 ","$65,500 ",3.5,"EAB
",3.5,"Washington, DC",DC,"Washington, DC",1001 to 5000 employees,2007,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Data Engineer,Consultant,Data Engineer - Consultant,$59K-$112K ,"$59,000","$112,000 ","$85,500 ",4.2,"Clarity Insights
",4.2,"Charlotte, NC",NC,"Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer,Consultant,Data Engineer - Consultant,$59K-$112K ,"$59,000","$112,000 ","$85,500 ",4.2,"Clarity Insights
",4.2,"Charlotte, NC",NC,"Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer,Director,Data Engineer - Director,$113K-$196K ,"$113,000","$196,000 ","$154,500 ",3.7,"Takeda Pharmaceuticals
",3.7,"Cambridge, MA",MA,"OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Engineer,Director,Data Engineer - Director,$113K-$196K ,"$113,000","$196,000 ","$154,500 ",3.7,"Takeda Pharmaceuticals
",3.7,"Cambridge, MA",MA,"OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Engineer,Director,Data Engineer - Director,$113K-$196K ,"$113,000","$196,000 ","$154,500 ",3.7,"Takeda Pharmaceuticals
",3.7,"Cambridge, MA",MA,"OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Engineer,Lead,Data Engineer - Lead,$121K-$203K ,"$121,000","$203,000 ","$162,000 ",4,"Glassdoor
",4,"San Francisco, CA",CA,"Mill Valley, CA",1001 to 5000 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Engineer,Lead,Data Engineer - Lead,$121K-$203K ,"$121,000","$203,000 ","$162,000 ",4,"Glassdoor
",4,"San Francisco, CA",CA,"Mill Valley, CA",1001 to 5000 employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Engineer,Lead,Data Engineer - Lead,$190K-$220K,"$190,000","$220,000 ","$205,000 ",4.1,"Credit Sesame
",4.1,"Mountain View, CA",CA,"Mountain View, CA",51 to 200 employees,2010,Company - Private,Internet,Information Technology,$50 to $100 million 
Data Engineer,Lead,Data Engineer - Lead,$190K-$220K,"$190,000","$220,000 ","$205,000 ",4.1,"Credit Sesame
",4.1,"Mountain View, CA",CA,"Mountain View, CA",51 to 200 employees,2010,Company - Private,Internet,Information Technology,$50 to $100 million 
Data Engineer,Lead,Data Engineer - Lead,$190K-$220K,"$190,000","$220,000 ","$205,000 ",4.1,"Credit Sesame
",4.1,"Mountain View, CA",CA,"Mountain View, CA",51 to 200 employees,2010,Company - Private,Internet,Information Technology,$50 to $100 million 
Data Engineer,Lead,Data Engineer - Lead,$66K-$123K ,"$66,000","$123,000 ","$94,500 ",4.7,"Strategic Employment Partners
",4.7,"San Francisco, CA",CA,"Los Angeles, CA",51 to 200 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million 
Data Engineer,Lead,Data Engineer - Lead,$66K-$123K ,"$66,000","$123,000 ","$94,500 ",4.7,"Strategic Employment Partners
",4.7,"San Francisco, CA",CA,"Los Angeles, CA",51 to 200 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million 
Data Engineer,Principal,Data Engineer - Principal,$116K-$209K ,"$116,000","$209,000 ","$162,500 ",4,"Autodesk
",4,"San Francisco, CA",CA,"San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion 
Data Engineer,Senior,Data Engineer - Senior,$75K-$140K ,"$75,000","$140,000 ","$107,500 ",3.4,"Echo Global Logistics
",3.4,"Chicago, IL",IL,"Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion 
Data Engineer,Senior,Data Engineer - Senior,$87K-$158K ,"$87,000","$158,000 ","$122,500 ",4.5,"Moser Consulting
",4.5,"Indianapolis, IN",IN,"Indianapolis, IN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million 
Data Engineer,Senior,Data Engineer - Senior,$75K-$140K ,"$75,000","$140,000 ","$107,500 ",3.4,"Echo Global Logistics
",3.4,"Chicago, IL",IL,"Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion 
Data Engineer,Senior,Data Engineer - Senior,$87K-$158K ,"$87,000","$158,000 ","$122,500 ",4.5,"Moser Consulting
",4.5,"Indianapolis, IN",IN,"Indianapolis, IN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million 
Data Engineer,Senior,Data Engineer - Senior,$75K-$140K ,"$75,000","$140,000 ","$107,500 ",3.4,"Echo Global Logistics
",3.4,"Chicago, IL",IL,"Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion 
Data Engineer,Senior,Data Engineer - Senior,$87K-$158K ,"$87,000","$158,000 ","$122,500 ",4.5,"Moser Consulting
",4.5,"Indianapolis, IN",IN,"Indianapolis, IN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million 
Data Engineer,Senior,Data Engineer - Senior,$69K-$127K ,"$69,000","$127,000 ","$98,000 ",3,"Pilot Flying J Travel Centers LLC
",3,"Knoxville, TN",TN,"Knoxville, TN",10000+ employees,1958,Company - Private,Gas Stations,Retail,$10+ billion 
Data Engineer,Senior,Data Engineer - Senior,$69K-$127K ,"$69,000","$127,000 ","$98,000 ",3,"Pilot Flying J Travel Centers LLC
",3,"Knoxville, TN",TN,"Knoxville, TN",10000+ employees,1958,Company - Private,Gas Stations,Retail,$10+ billion 
Data Engineer,Senior,Data Engineer - Senior,$69K-$127K ,"$69,000","$127,000 ","$98,000 ",3,"Pilot Flying J Travel Centers LLC
",3,"Knoxville, TN",TN,"Knoxville, TN",10000+ employees,1958,Company - Private,Gas Stations,Retail,$10+ billion 
Data Engineer,Senior,Data Engineer - Senior,$69K-$127K ,"$69,000","$127,000 ","$98,000 ",3,"Pilot Flying J Travel Centers LLC
",3,"Knoxville, TN",TN,"Knoxville, TN",10000+ employees,1958,Company - Private,Gas Stations,Retail,$10+ billion 
Data Engineer,Senior,Data Engineer - Senior,$83K-$148K ,"$83,000","$148,000 ","$115,500 ",3.7,"F&G
",3.7,"Des Moines, IA",IA,"Des Moines, IA",201 to 500 employees,,Subsidiary or Business Segment,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,Senior,Data Engineer - Senior,$83K-$148K ,"$83,000","$148,000 ","$115,500 ",3.7,"F&G
",3.7,"Des Moines, IA",IA,"Des Moines, IA",201 to 500 employees,,Subsidiary or Business Segment,Insurance Carriers,Insurance,$100 to $500 million 
Data Engineer,Senior,Data Engineer - Senior,$71K-$135K ,"$71,000","$135,000 ","$103,000 ",2.7,"Bridg
",2.7,"Los Angeles, CA",CA,"Los Angeles, CA",1 to 50 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,Senior,Data Engineer - Senior,$95K-$173K ,"$95,000","$173,000 ","$134,000 ",3.2,"Red Ventures
",3.2,"Charlotte, NC",NC,"Fort Mill, SC",1001 to 5000 employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion 
Data Engineer,Senior,Data Engineer - Senior,$78K-$147K ,"$78,000","$147,000 ","$112,500 ",4.3,"Genesys
",4.3,"Durham, NC",NC,"Daly City, CA",5001 to 10000 employees,1990,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
Data Engineer,Senior,Data Engineer - Senior,$97K-$180K ,"$97,000","$180,000 ","$138,500 ",4.7,"Praetorian
",4.7,"Austin, TX",TX,"Austin, TX",51 to 200 employees,2010,Company - Private,Security Services,Business Services,$10 to $25 million 
Data Engineer,Senior,Data Engineer - Senior,$97K-$181K ,"$97,000","$181,000 ","$139,000 ",3.9,"Figure Eight
",3.9,"San Francisco, CA",CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million 
Data Engineer,Senior,Data Engineer - Senior,$100K-$173K ,"$100,000","$173,000 ","$136,500 ",3.9,"Tapjoy
",3.9,"San Francisco, CA",CA,"San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million 
Data Engineer,Senior,Data Engineer - Senior,$76K-$142K ,"$76,000","$142,000 ","$109,000 ",3.2,"Equian LLC
",3.2,"Franklin, TN",TN,"Indianapolis, IN",1001 to 5000 employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,Senior,Data Engineer - Senior,$72K-$133K ,"$72,000","$133,000 ","$102,500 ",4.4,"Eventbrite
",4.4,"Nashville, TN",TN,"San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million 
Data Engineer,Senior,Data Engineer - Senior,$67K-$127K ,"$67,000","$127,000 ","$97,000 ",4,"Novetta
",4,"Reston, VA",VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million 
Data Engineer,Senior,Data Engineer - Senior,$78K-$147K ,"$78,000","$147,000 ","$112,500 ",4.3,"Genesys
",4.3,"Durham, NC",NC,"Daly City, CA",5001 to 10000 employees,1990,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
Data Engineer,Senior,Data Engineer - Senior,$97K-$180K ,"$97,000","$180,000 ","$138,500 ",4.7,"Praetorian
",4.7,"Austin, TX",TX,"Austin, TX",51 to 200 employees,2010,Company - Private,Security Services,Business Services,$10 to $25 million 
Data Engineer,Senior,Data Engineer - Senior,$97K-$181K ,"$97,000","$181,000 ","$139,000 ",3.9,"Figure Eight
",3.9,"San Francisco, CA",CA,"San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$10 to $25 million 
Data Engineer,Senior,Data Engineer - Senior,$100K-$173K ,"$100,000","$173,000 ","$136,500 ",3.9,"Tapjoy
",3.9,"San Francisco, CA",CA,"San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million 
Data Engineer,Senior,Data Engineer - Senior,$76K-$142K ,"$76,000","$142,000 ","$109,000 ",3.2,"Equian LLC
",3.2,"Franklin, TN",TN,"Indianapolis, IN",1001 to 5000 employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Engineer,Senior,Data Engineer - Senior,$72K-$133K ,"$72,000","$133,000 ","$102,500 ",4.4,"Eventbrite
",4.4,"Nashville, TN",TN,"San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million 
Data Engineer,Senior,Data Engineer - Senior,$56K-$99K ,"$56,000","$99,000 ","$77,500 ",3.2,"MITRE
",3.2,"Hampton, VA",VA,"Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion 
Data Engineer,Senior,Data Engineer - Senior,$56K-$99K ,"$56,000","$99,000 ","$77,500 ",3.2,"MITRE
",3.2,"Hampton, VA",VA,"Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion 
Data Engineer,Senior,Data Engineer - Senior,$56K-$99K ,"$56,000","$99,000 ","$77,500 ",3.2,"MITRE
",3.2,"Hampton, VA",VA,"Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion 
Data Engineer,Senior,Data Engineer - Senior,$68K-$129K ,"$68,000","$129,000 ","$98,500 ",3.5,"Western Digital
",3.5,"Milpitas, CA",CA,"San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion 
Data Engineer,Senior,Data Engineer - Senior,$65K-$148K ,"$65,000","$148,000 ","$106,500 ",4.4,"KSM Consulting
",4.4,"Indianapolis, IN",IN,"Indianapolis, IN",51 to 200 employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Manager,,Data Manager,$31K-$65K ,"$31,000","$65,000 ","$48,000 ",4.5,"NMR Consulting
",4.5,"Huntsville, AL",AL,"Chantilly, VA",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million 
Data Modeler,,Data Modeler,$79K-$134K ,"$79,000","$134,000 ","$106,500 ",4.7,"IT Concepts
",4.7,"Landover, MD",MD,"Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million 
Data Modeler (Analytical Systems),,,$66K-$117K ,"$66,000","$117,000 ","$91,500 ",3.6,"MassMutual
",3.6,"Boston, MA",MA,"Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion 
Data Operations Lead,Lead,,$85K-$90K,"$85,000","$90,000 ","$87,500 ",-1,M,,"San Francisco, CA",CA,"San Francisco, CA",201 to 500 employees,,Nonprofit Organization,,,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$60K-$101K ,"$60,000","$101,000 ","$80,500 ",4.6,"Beck's Hybrids
",4.6,"Atlanta, IN",IN,"Atlanta, IN",501 to 1000 employees,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million 
Data Scientist,,Data Scientist,$63K-$105K ,"$63,000","$105,000 ","$84,000 ",4,"Pfizer
",4.0,"Groton, CT",CT,"New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Scientist,,Data Scientist,$63K-$105K ,"$63,000","$105,000 ","$84,000 ",4,"Pfizer
",4.0,"Groton, CT",CT,"New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Scientist,,Data Scientist,$63K-$99K ,"$63,000","$99,000 ","$81,000 ",3.7,"Caterpillar
",3.7,"Peoria, IL",IL,"Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion 
Data Scientist,,Data Scientist,$63K-$99K ,"$63,000","$99,000 ","$81,000 ",3.7,"Caterpillar
",3.7,"Peoria, IL",IL,"Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion 
Data Scientist,,Data Scientist,$56K-$97K ,"$56,000","$97,000 ","$76,500 ",3.8,"PNNL
",3.8,"Richland, WA",WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion 
Data Scientist,,Data Scientist,$56K-$97K ,"$56,000","$97,000 ","$76,500 ",3.8,"PNNL
",3.8,"Richland, WA",WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion 
Data Scientist,,Data Scientist,$118K-$189K ,"$118,000","$189,000 ","$153,500 ",4.3,"h2o.ai
",4.3,"Mountain View, CA",CA,"Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$118K-$189K ,"$118,000","$189,000 ","$153,500 ",4.3,"h2o.ai
",4.3,"Mountain View, CA",CA,"Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$71K-$204K ,"$71,000","$204,000 ","$137,500 ",4.3,"h2o.ai
",4.3,"Chicago, IL",IL,"Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$79K-$222K ,"$79,000","$222,000 ","$150,500 ",4.3,"h2o.ai
",4.3,"Mountain View, CA",CA,"Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$53K-$91K ,"$53,000","$91,000 ","$72,000 ",3.8,"Tecolote Research
",3.8,"Albuquerque, NM",NM,"Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million 
Data Scientist,,Data Scientist,$80K-$90K ,"$80,000","$90,000 ","$85,000 ",4.8,"KnowBe4
",4.8,"Clearwater, FL",FL,"Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million 
Data Scientist,,Data Scientist,$56K-$97K ,"$56,000","$97,000 ","$76,500 ",3.8,"PNNL
",3.8,"Richland, WA",WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion 
Data Scientist,,Data Scientist,$86K-$143K ,"$86,000","$143,000 ","$114,500 ",2.9,"Affinity Solutions
",2.9,"New York, NY",NY,"New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$71K-$119K ,"$71,000","$119,000 ","$95,000 ",3.4,"CyrusOne
",3.4,"Dallas, TX",TX,"Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion 
Data Scientist,,Data Scientist,$54K-$93K ,"$54,000","$93,000 ","$73,500 ",4.1,"ClearOne Advantage
",4.1,"Baltimore, MD",MD,"Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$86K-$142K ,"$86,000","$142,000 ","$114,000 ",3.8,"Logic20/20
",3.8,"San Jose, CA",CA,"Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million 
Data Scientist,,Data Scientist,$120K-$160K ,"$120,000","$160,000 ","$140,000 ",4.6,"<intent>
",4.6,"New York, NY",NY,"New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million 
Data Scientist,,Data Scientist,$126K-$201K ,"$126,000","$201,000 ","$163,500 ",3.5,"Wish
",3.5,"San Jose, CA",CA,"San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion 
Data Scientist,,Data Scientist,$64K-$106K ,"$64,000","$106,000 ","$85,000 ",4.1,"ManTech
",4.1,"Chantilly, VA",VA,"Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion 
Data Scientist,,Data Scientist,$83K-$144K ,"$83,000","$144,000 ","$113,500 ",3.7,"Takeda Pharmaceuticals
",3.7,"Cambridge, MA",MA,"OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion 
Data Scientist,,Data Scientist,$64K-$111K ,"$64,000","$111,000 ","$87,500 ",4,"Pinnacol Assurance
",4.0,"Denver, CO",CO,"Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion 
Data Scientist,,Data Scientist,$81K-$130K ,"$81,000","$130,000 ","$105,500 ",3.2,"Porch
",3.2,"Seattle, WA",WA,"Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$63K-$105K ,"$63,000","$105,000 ","$84,000 ",4.3,"SMC 3
",4.3,"Louisville, KY",KY,"Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million 
Data Scientist,,Data Scientist,$109K-$177K ,"$109,000","$177,000 ","$143,000 ",4,"Novetta
",4.0,"Herndon, VA",VA,"Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million 
Data Scientist,,Data Scientist,$75K-$124K ,"$75,000","$124,000 ","$99,500 ",3.5,"First Tech Federal Credit Union
",3.5,"Hillsboro, OR",OR,"San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million 
Data Scientist,,Data Scientist,$80K-$90K ,"$80,000","$90,000 ","$85,000 ",4.8,"KnowBe4
",4.8,"Clearwater, FL",FL,"Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million 
Data Scientist,,Data Scientist,$56K-$97K ,"$56,000","$97,000 ","$76,500 ",3.8,"PNNL
",3.8,"Richland, WA",WA,"Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion 
Data Scientist,,Data Scientist,$72K-$120K ,"$72,000","$120,000 ","$96,000 ",3.6,"Amrock
",3.6,"Detroit, MI",MI,"Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion 
Data Scientist,,Data Scientist,$93K-$149K ,"$93,000","$149,000 ","$121,000 ",3.8,"Juniper Networks
",3.8,"Sunnyvale, CA",CA,"Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion 
Data Scientist,,Data Scientist,$85K-$140K ,"$85,000","$140,000 ","$112,500 ",4.7,"New England Biolabs
",4.7,"Ipswich, MA",MA,"Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$82K-$132K ,"$82,000","$132,000 ","$107,000 ",3.5,"Esri
",3.5,"Redlands, CA",CA,"Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion 
Data Scientist,,Data Scientist,$83K-$137K ,"$83,000","$137,000 ","$110,000 ",4.7,"Systems & Technology Research
",4.7,"Woburn, MA",MA,"Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million 
Data Scientist,,Data Scientist,$150K-$160K,"$150,000","$160,000 ","$155,000 ",5,"BPA Services
",5.0,"Washington, DC",DC,"Alexandria, VA",Unknown,,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$68K-$114K ,"$68,000","$114,000 ","$91,000 ",3.8,"Zimmerman Advertising
",3.8,"Fort Lauderdale, FL",FL,"Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist,,Data Scientist,$86K-$144K ,"$86,000","$144,000 ","$115,000 ",3.7,"Swiss Re
",3.7,"Armonk, NY",NY,"Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion 
Data Scientist,,Data Scientist,$80K-$139K ,"$80,000","$139,000 ","$109,500 ",3.7,"Northrop Grumman
",3.7,"San Diego, CA",CA,"Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion 
Data Scientist,,Data Scientist,$56K-$95K ,"$56,000","$95,000 ","$75,500 ",3.5,"Sartorius
",3.5,"Albuquerque, NM",NM,"Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion 
